Epoch_no,Val_Accuracy,Val_IoU,Val_Dice,Val_f1_score,Val_Precision,Val_Recall,Val_Specificity,Train_Accuracy,Train_IoU,Train_Dice,Train_f1_scorVal_e,Train_Precision,Train_Recall,Train_Specificity,Train_MCC,Train_f1_score,Train_loss,Val_MCC,Val_loss
1,92.608025,0.0006555054735924516,0.001306938672704356,0.9260802268981934,0.9260802268981934,0.9260802268981934,0.9260802268981934,91.94225,0.0004810912907123566,0.0009574305415153504,,0.9194227294921875,0.9194227294921875,0.9194227294921875,,0.9194227294921875,0.306904673576355,,0.49187782406806946
2,92.749146,0.0,9.999998797281608e-09,0.9274915286472866,0.9274915286472866,0.9274915286472866,0.9274915286472866,91.983955,0.0,1.0000005204346962e-08,,0.9198396606445313,0.9198396606445313,0.9198396606445313,,0.9198396606445313,0.2768908441066742,,0.34056657552719116
3,92.742546,0.0014514618420175143,0.0028846141483102527,0.9274255207606724,0.9274255207606724,0.9274255207606724,0.9274255207606724,91.986244,0.0009911618232727052,0.0019738150835037233,,0.9198623046875,0.9198623046875,0.9198623046875,,0.9198623046875,0.26042184233665466,,0.25444814562797546
4,92.776306,0.02056696798120226,0.03993077789034162,0.9277629852294922,0.9277629852294922,0.9277629852294922,0.9277629852294922,92.02397,0.010699858665466308,0.020934886932373047,,0.920239501953125,0.920239501953125,0.920239501953125,,0.920239501953125,0.2134660929441452,0.09342695134026664,0.2155524045228958
5,92.66158,0.14940956660679408,0.25811590467180523,0.9266157831464495,0.9266157831464495,0.9266157831464495,0.9266157831464495,92.01948,0.0966286849975586,0.1733955078125,,0.92019482421875,0.92019482421875,0.92019482421875,0.2041622314453125,0.92019482421875,0.22090524435043335,0.2641126258032663,0.22415399551391602
